geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
hsa04218	Cellular senescence	http://www.kegg.jp/kegg-bin/show_pathway?hsa04218+11200+2308+3107+3486+3845+4087+472+4772+4893+5290+5606+6009+7048+7157+801+891	152	16	7.848348077270265	2.0386455649613544	0.004919581891236868	0.028192988530549745	11200;2308;3107;3486;3845;4087;472;4772;4893;5290;5606;6009;7048;7157;801;891	ATM;CALM1;CCNB1;CHEK2;FOXO1;HLA-C;IGFBP3;KRAS;MAP2K3;NFATC1;NRAS;PIK3CA;RHEB;SMAD2;TGFBR2;TP53
hsa05142	Chagas disease (American trypanosomiasis)	http://www.kegg.jp/kegg-bin/show_pathway?hsa05142+1147+2778+355+4087+5290+54106+5519+5520+5601+6416+7048+811	101	12	5.215020761870374	2.301045489164301	0.005489832856659271	0.030867362099706846	1147;2778;355;4087;5290;54106;5519;5520;5601;6416;7048;811	CALR;CHUK;FAS;GNAS;MAP2K4;MAPK9;PIK3CA;PPP2R1B;PPP2R2A;SMAD2;TGFBR2;TLR9
hsa04960	Aldosterone-regulated sodium reabsorption	http://www.kegg.jp/kegg-bin/show_pathway?hsa04960+3845+4306+5290+5579+6338+6340	33	6	1.703917674670518	3.521296884933249	0.006112342813426319	0.033731077007426724	3845;4306;5290;5579;6338;6340	KRAS;NR3C2;PIK3CA;PRKCB;SCNN1B;SCNN1G
hsa04971	Gastric acid secretion	http://www.kegg.jp/kegg-bin/show_pathway?hsa04971+114+2778+5579+60+760+801+816+818+91807	66	9	3.407835349341036	2.6409726636999364	0.0063566207462535385	0.03432920179609162	114;2778;5579;60;760;801;816;818;91807	ACTB;ADCY8;CA2;CALM1;CAMK2B;CAMK2G;GNAS;MYLK3;PRKCB
hsa04722	Neurotrophin signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04722+11213+3845+4145+4893+5290+5601+5609+6196+673+7157+801+816+818	116	13	5.989528795811518	2.1704545454545454	0.006451125169735339	0.03432920179609162	11213;3845;4145;4893;5290;5601;5609;6196;673;7157;801;816;818	BRAF;CALM1;CAMK2B;CAMK2G;IRAK3;KRAS;MAP2K7;MAPK9;MATK;NRAS;PIK3CA;RPS6KA2;TP53
hsa05217	Basal cell carcinoma	http://www.kegg.jp/kegg-bin/show_pathway?hsa05217+1499+2737+324+51176+650+6934+7157+8322	55	8	2.8398627911175303	2.817037507946599	0.006704184071298025	0.03504994479380371	1499;2737;324;51176;650;6934;7157;8322	APC;BMP2;CTNNB1;FZD4;GLI3;LEF1;TCF7L2;TP53
hsa04540	Gap junction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04540+114+2778+2911+2977+3845+4893+5579+5593+7280+80310	81	10	4.182343383282181	2.3910040576707243	0.008343710678124117	0.04286941003587908	114;2778;2911;2977;3845;4893;5579;5593;7280;80310	ADCY8;GNAS;GRM1;GUCY1A2;KRAS;NRAS;PDGFD;PRKCB;PRKG2;TUBB2A
hsa05231	Choline metabolism in cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05231+3845+4893+5290+5579+5601+5900+6009+6198+6667+80310	83	10	4.285611121141	2.3333895020642013	0.009869849011692078	0.04967929303291838	3845;4893;5290;5579;5601;5900;6009;6198;6667;80310	KRAS;MAPK9;NRAS;PDGFD;PIK3CA;PRKCB;RALGDS;RHEB;RPS6KB1;SP1
hsa04152	AMPK signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04152+10645+2308+29904+31+5211+5290+5468+5519+5520+6009+6198+8471	109	12	5.6280917133056505	2.1321614165650864	0.010002542221392963	0.04967929303291838	10645;2308;29904;31;5211;5290;5468;5519;5520;6009;6198;8471	ACACA;CAMKK2;EEF2K;FOXO1;IRS4;PFKL;PIK3CA;PPARG;PPP2R1B;PPP2R2A;RHEB;RPS6KB1
hsa04137	Mitophagy	http://www.kegg.jp/kegg-bin/show_pathway?hsa04137+10370+29110+3845+4893+5601+6667+7157+9474	59	8	3.0463982668351686	2.626051914187508	0.0102209772334787	0.04993198714060086	10370;29110;3845;4893;5601;6667;7157;9474	ATG5;CITED2;KRAS;MAPK9;NRAS;SP1;TBK1;TP53
